lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta0
-459.9036824832302,0.9332250888098609,0.1905329870269703,4.0,15.0,0.0,464.50588476725716,0.11613150800510925,0.18096652185804413,-0.2378059094456493,-1.8763640079929056,0.2270831638656961,0.1578428509092627,1.9076881623465627,0.49646212810567325,0.053957077798619676,-0.1637030704176154,-8.04739364949717
-461.41926249930304,0.9215630264678351,0.1905329870269703,5.0,31.0,0.0,470.38469723054,-0.006108239041347295,0.5282745862308902,-0.4943387924438488,-2.593478992255903,0.5788379302739041,0.049959531693216826,2.1144518619725647,0.4813467233532701,-0.03643909515883726,0.019069001136120742,-8.188962301401915
-461.7323078658708,0.6415439380228913,0.1905329870269703,5.0,31.0,0.0,467.9837137551697,0.2465851149286909,0.37754970187766246,-0.2208349387967784,-1.5076824717785418,0.13772173177733307,-0.03315303556567584,1.534306893096071,0.4536224504464775,0.023943954733211623,-0.26917354209931793,-7.811189667287476
-461.46945535111,0.9983381850924622,0.1905329870269703,4.0,31.0,0.0,464.4678831184103,-0.25051453147084257,0.05477556853941915,-0.3972696852304928,-1.5047220698920178,-0.10784257098049899,0.13520278922676898,1.8475499962499207,0.6629793214449894,-0.06322574386178995,0.15264477952126398,-8.20597686798348
-459.1363810815528,0.9607044929195301,0.1905329870269703,4.0,31.0,0.0,466.0101547093033,0.02062750790463954,0.2468727261248598,-0.66840013480142,-1.7006793581038804,-0.05999352580686146,0.039737569687670476,1.8980272876874325,0.652258424286311,-0.032266346161936355,-0.08309035041801235,-8.293270454846635
-459.4248637827976,0.9484509992516261,0.1905329870269703,4.0,31.0,0.0,461.82712582551943,0.00439415546697566,0.17101856488533942,-0.6774762262584978,-1.720578890210958,-0.028950711915787092,0.02548699094943117,1.8313705745483397,0.6583327632918534,-0.03373776938301523,-0.11070624052893763,-8.199040851170013
-460.0908740189909,0.9708352728254537,0.1905329870269703,4.0,15.0,0.0,462.28481562072557,0.03972203268266383,0.16207829164295479,-0.7152281409191624,-1.538143241011834,0.03346573788620848,-0.0008671192375056796,1.6450393009629372,0.6528170364064604,0.01038031724933964,-0.0883717411224836,-8.205886481300912
-459.6378705541365,0.9672741958808337,0.1905329870269703,5.0,31.0,0.0,464.1674264020075,-0.24670988724540363,0.3060183012385315,-0.13306290107251026,-2.0703517475275697,0.2721453358680474,0.08926499354995061,1.911319123219956,0.4827433755399896,0.001806682250917963,0.024601889048315485,-7.849714282884929
-462.1259273409603,0.994588249367421,0.1905329870269703,5.0,31.0,0.0,465.9821479738936,0.31660892688166015,0.08968191910114365,-0.5868861960671427,-2.0341315892986525,0.21611929154823245,-0.020870751984076914,2.059000187135693,0.6879929857263634,-0.05642540204311974,-0.00538994136306192,-8.298919533170814
-467.413978291508,0.7407669249098903,0.1905329870269703,5.0,31.0,0.0,471.8803474242595,-0.48983959430966617,0.4564201067000134,-0.011419461660702356,-2.21941288431544,0.0014754850785034385,-0.0009345895669892398,2.2207197660032736,0.46859450785649154,0.15314287470636584,-0.08151285186371714,-8.289565959604005
-461.5300053596825,0.9447075165841176,0.1905329870269703,4.0,15.0,0.0,472.67472119500974,0.06623395389895069,0.47562319864132374,-0.27656050859537534,-2.5077246980789747,0.31630621051346236,0.06615703934515134,2.4764633001398195,0.39267321418462336,0.14437802312720774,-0.15050683802630363,-8.003109243142461
-462.10499005602674,0.9924662897718621,0.1905329870269703,4.0,31.0,0.0,465.58687223179817,0.01808958857888883,0.2708324267298429,-0.1440011388650442,-2.4274805675218594,0.17974724580141735,0.09553534256930447,2.6597779728608493,0.37513366149183913,0.2840927670306344,0.07233326427671216,-8.19258609882182
