lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta0,log_sig_sq
-414158.1530421085,0.9989287138674762,0.23061315334997615,4.0,15.0,0.0,414161.6647772713,-0.8719801776718699,3.6619792050080453,0.6942207261759289,-6.8504484739263445,4.239645619105852,1.5110181142004173,4.563205011281323,2.9716245116730167,-1.462871523162204,-0.45893852787056344,9.805409495117104,7.39134263932617
-414156.82682842657,0.9881922948373145,0.23061315334997615,4.0,15.0,0.0,414162.8048536651,-1.0867220940481586,3.753529133837309,0.4630406817057098,-6.729068372113549,3.859561166506401,1.6420489974627908,4.693491913928426,2.8368155514398787,-1.256207040160379,-0.08721284571505353,10.12938743142267,7.390490998830052
-414154.8454903116,0.9908446180311081,0.23061315334997615,4.0,15.0,0.0,414159.9703172953,-1.0051178131657066,3.6648747224506284,0.6903901818992891,-6.777649947235798,4.028552376113736,1.6240531734420836,4.221759806188578,2.940669042195398,-1.3767832022869215,-0.4552579644162982,9.801849609458735,7.392898433552279
-414155.87424478575,0.9921245696501036,0.23061315334997615,4.0,15.0,0.0,414159.8157916767,-1.0352341382834382,3.7096538359677855,0.5602602209674573,-7.105885874751652,3.876382030516518,1.440556821808257,4.901057573277187,2.860479608103934,-1.47163568395079,-0.16352192402452856,10.151116952490524,7.388353391094619
-414155.8648547603,0.9342861580575494,0.23061315334997615,4.0,15.0,0.0,414159.1516436917,-1.1004942367441934,3.740115032644166,0.5596384439327543,-7.2923100685421165,3.878998959914875,1.5102712870157684,5.091713137167498,2.7727983894863377,-1.4755131937099373,-0.4088407632800341,9.93448544852923,7.393308985154426
-414156.6550920241,0.9199050566557148,0.23061315334997615,4.0,15.0,0.0,414163.31744626194,-1.273455546027608,3.6974272041738305,0.6972589600674952,-7.274665782801198,4.094477130750356,1.4993349922103731,4.84463189051035,3.0380638018002895,-1.3418000661661185,-0.28788876205265224,9.98247560705184,7.389366718824648
-414155.8597285252,0.9882906768449582,0.23061315334997615,4.0,15.0,0.0,414160.835464754,-0.8824670549633533,3.6889880439802303,0.4382618952521853,-6.624808053953049,3.936134982124375,1.6761720914973728,4.260878290242189,2.7224935854276158,-1.507869631568236,-0.28782796912850467,9.976721554823463,7.393966050844594
-414157.27636537515,0.982241978581872,0.23061315334997615,4.0,15.0,0.0,414159.67434634385,-1.0473551689421468,3.677572867756907,0.5924667030144694,-6.343053704120019,3.770739205320333,1.7643898166524454,4.1591345358019005,3.0905892134783066,-1.5623004093205184,-0.2060723110922886,9.821975409556742,7.3863459552976485
-414158.25953095645,0.9817622179387032,0.23061315334997615,4.0,15.0,0.0,414165.30152344506,-1.0010391930483502,3.712378493250701,0.6072268927211447,-7.108336249650068,3.7431270714373475,1.4254076851224182,4.870406549414415,2.690952501613421,-1.2343359320550105,-0.42226644714640243,10.073437585310245,7.398790073454809
-414156.5455836172,0.9990455036263579,0.23061315334997615,4.0,15.0,0.0,414162.5441319271,-1.0108704069533754,3.638253536858943,0.8680367672013668,-6.531916669185273,3.9307935506713387,1.6409646902166917,4.131206917512482,3.0307259397788844,-1.3872961658726526,-0.5395293621896166,9.871479939011166,7.390087992601501
-414156.2183970947,0.9586133368702874,0.23061315334997615,4.0,31.0,0.0,414162.5628812588,-1.029097002400362,3.7100227139618585,0.480192481746617,-7.388050976915858,4.466869104086306,1.4952083072098399,4.703660400318989,2.824430141906445,-1.5607228849849348,-0.2938597262395655,10.030393528592285,7.393613276655867
-414154.8746309402,0.9126897751121226,0.23061315334997615,4.0,15.0,0.0,414159.607192267,-1.016897209009418,3.6858283092358755,0.7276684409314309,-6.818913501561247,3.70039022771371,1.5555526000576507,4.595651725715874,3.0519973186758906,-1.3241143196496836,-0.4530989330555651,9.918650193177589,7.389147512705487
-414155.49760295707,0.9877697602381691,0.23061315334997615,4.0,15.0,0.0,414158.60906288674,-0.9853738742159249,3.557945360535784,0.6779840229015528,-6.805291396287047,3.6638361103932167,1.5743630913585758,4.836303796947832,2.893603864987489,-1.305206701675344,-0.41909117725248024,9.895655028485058,7.3880065217145825
-414156.20807110815,0.9231949577581827,0.23061315334997615,4.0,15.0,0.0,414160.9066009314,-1.0620078407708398,3.648401131212405,0.5491945073968751,-7.411075997408176,4.225385469637885,1.372207495700214,4.846002142177963,2.87493941746668,-1.318045289374821,-0.3826634621178674,9.80708780902468,7.395142265597956
-414158.69374778884,0.7542630399321701,0.23061315334997615,4.0,15.0,0.0,414166.3172348679,-0.8796254746559713,3.81325629686319,0.5765573524156788,-6.9823114344855135,4.20160469215795,1.7250486434637908,4.687553646986659,2.937351035911523,-1.448943483555877,-0.20461206798584924,10.217830900738042,7.3890981395347355
-414162.59445425426,0.9979616119117748,0.23061315334997615,4.0,15.0,0.0,414164.7058105056,-0.9532066209012138,3.7410030462686494,0.5048610396249771,-7.459327122513356,4.284885036997023,1.8317008435887332,4.700635807113157,3.0150552734469387,-1.3559746805699597,-0.1491795230413118,10.283361838297184,7.38631764289595
-414160.78307795606,1.0,0.23061315334997615,4.0,15.0,0.0,414165.99458750756,-1.1336443588546143,3.7149169232158346,0.6918303354937716,-7.363225076059286,4.060752412192449,1.2093709042530296,4.878924386101453,2.8067488445544515,-1.4766463277048478,-0.5045824403601084,9.716229490863984,7.396957318332929
-414158.5714617884,0.9169196527018563,0.23061315334997615,4.0,15.0,0.0,414166.9454281832,-0.9648970955627236,3.665303804359082,0.643003113828876,-6.682143942507329,3.944670116111779,1.846821637164209,4.218216004660153,3.0808595616098637,-1.4779803422667483,-0.3350312276550421,10.119405486016948,7.384521090474141
-414156.8688332326,1.0,0.23061315334997615,4.0,15.0,0.0,414161.58740221825,-0.9744762631415055,3.684646809187563,0.6338092003514378,-6.469191822909011,3.695410984148594,1.7468927221467891,4.538771017478566,3.1200793956983146,-1.4406558770583044,-0.3561947001926198,10.139029097084892,7.393763454963389
-414158.3109176888,0.914979695679084,0.23061315334997615,4.0,15.0,0.0,414161.4871449558,-0.9289170438105654,3.5441411736558663,0.5962280395168648,-6.4745364209316865,3.8934583874884936,1.544476740551494,3.952707559065235,2.81663442828031,-1.5866038939467868,-0.37237090624719643,9.85208876591365,7.387549064601941
-414156.80107643694,0.9993001248487481,0.23061315334997615,4.0,15.0,0.0,414162.86868014984,-0.8602008843620509,3.895493930084257,0.5830620591616932,-6.6576166018339284,3.7717022009959336,1.6758060697286976,4.518105708694063,2.7467730670334265,-1.3982850742323294,-0.24149168700101634,10.019049616042306,7.39773964522699
-414156.62914928835,0.43496431470725155,0.23061315334997615,4.0,31.0,0.0,414174.39032360964,-1.1505382388246561,3.488775682063769,0.5008019671877846,-7.185613952729653,4.244721340977442,1.5596178413886383,4.537196297458661,3.098039744465426,-1.3646646851812279,-0.31081468636208454,9.894146730385254,7.392879300237697
-414155.07337955886,0.991480598390016,0.23061315334997615,4.0,15.0,0.0,414159.0965399412,-1.034254980038422,3.6898788505355755,0.5921520350771605,-6.6211839536209,3.982096756741867,1.4008171536200014,4.353115044461182,2.814775040784994,-1.566592091197872,-0.2914136087323152,10.041696535568622,7.390630427794476
-414165.4609184189,0.889775309569875,0.23061315334997615,4.0,15.0,0.0,414169.17010205507,-1.0313867082188284,3.8860450921775755,0.8321360892341461,-6.348987099340196,3.232847856757845,1.5203706873106575,4.813027152415666,3.1058081067856347,-1.6445529368465168,-0.1715975880274546,9.681499151664408,7.391670075393029
-414164.58937290794,0.9956931928805105,0.23061315334997615,4.0,15.0,0.0,414173.2199403839,-1.0422315041157644,3.4788247488902413,0.12886677261864496,-6.962678423145357,4.412204482294153,1.6467527724883533,4.169737800333938,2.6999870965363297,-1.3396947150338352,-0.2899251065113275,10.07401762414604,7.38984441382263
-414157.57451519294,0.9471634331048773,0.23061315334997615,4.0,15.0,0.0,414168.9450967359,-1.0896107199435474,3.7430257384224097,0.6514082432888461,-6.40050575327114,3.249297578911897,1.5857578372682526,4.637819494345284,2.9215570117021405,-1.4109323707995374,-0.1319568081733155,9.930860185463933,7.3897659031639575
